"","data_inici","nom_regio","hospitalizaciones","defunciones","Ingresos_UCI"
"531","04/04/2022","CATALUNYA CENTRAL",15,4,3
"532","04/04/2022","GIRONA",10,4,6
"533","04/04/2022","LLEIDA",11,2,1
"534","11/04/2022","BARCELONA",325,32,23
"535","11/04/2022","CAMP DE TARRAGONA",5,1,6
"536","11/04/2022","CATALUNYA CENTRAL",22,4,1
"537","11/04/2022","GIRONA",60,13,3
"538","18/04/2022","BARCELONA",349,37,22
"539","18/04/2022","CAMP DE TARRAGONA",6,2,2
"540","18/04/2022","CATALUNYA CENTRAL",9,1,2
"541","18/04/2022","GIRONA",52,12,4
"542","18/04/2022","LLEIDA",2,1,1
"543","25/04/2022","BARCELONA",353,30,20
"544","25/04/2022","CAMP DE TARRAGONA",13,3,2
"545","25/04/2022","CATALUNYA CENTRAL",18,4,2
"546","25/04/2022","GIRONA",47,10,3
"547","25/04/2022","LLEIDA",1,1,1
"548","25/04/2022","TERRES DE L'EBRE",3,1,0
"549","02/05/2022","BARCELONA",285,25,20
"550","02/05/2022","CAMP DE TARRAGONA",16,2,4
"551","02/05/2022","CATALUNYA CENTRAL",19,3,1
"552","02/05/2022","GIRONA",39,12,3
"553","02/05/2022","LLEIDA",13,5,2
"554","09/05/2022","BARCELONA",482,45,17
"555","09/05/2022","CAMP DE TARRAGONA",30,8,4
"556","09/05/2022","CATALUNYA CENTRAL",1,1,1
"557","09/05/2022","GIRONA",67,15,2
"558","09/05/2022","LLEIDA",21,7,3
"559","09/05/2022","TERRES DE L'EBRE",4,4,0
"560","16/05/2022","BARCELONA",433,43,20
"561","16/05/2022","CAMP DE TARRAGONA",10,5,5
"562","16/05/2022","CATALUNYA CENTRAL",44,8,1
"563","16/05/2022","GIRONA",46,12,1
"564","16/05/2022","LLEIDA",18,4,3
"565","23/05/2022","BARCELONA",496,50,28
"566","23/05/2022","CAMP DE TARRAGONA",21,8,5
"567","23/05/2022","CATALUNYA CENTRAL",30,2,0
"568","23/05/2022","GIRONA",19,4,0
"569","23/05/2022","LLEIDA",12,2,2
"570","23/05/2022","TERRES DE L'EBRE",3,3,1
"571","30/05/2022","BARCELONA",471,37,17
"572","30/05/2022","CAMP DE TARRAGONA",9,3,6
"573","30/05/2022","CATALUNYA CENTRAL",45,11,0
"574","30/05/2022","GIRONA",46,12,2
"575","30/05/2022","LLEIDA",21,3,3
"576","30/05/2022","TERRES DE L'EBRE",5,2,1
"577","06/06/2022","BARCELONA",508,45,21
"578","06/06/2022","CAMP DE TARRAGONA",28,5,5
"579","06/06/2022","CATALUNYA CENTRAL",22,2,0
"580","06/06/2022","GIRONA",68,10,2
"581","06/06/2022","LLEIDA",21,3,2
"582","13/06/2022","ALT PIRINEU I ARAN",8,2,0
"583","13/06/2022","BARCELONA",663,55,23
"584","13/06/2022","CAMP DE TARRAGONA",19,4,4
"585","13/06/2022","CATALUNYA CENTRAL",72,8,1
"586","13/06/2022","GIRONA",37,6,4
"587","13/06/2022","LLEIDA",30,8,3
"588","13/06/2022","TERRES DE L'EBRE",3,1,1
"589","20/06/2022","BARCELONA",958,86,29
"590","20/06/2022","CAMP DE TARRAGONA",39,3,6
"591","20/06/2022","CATALUNYA CENTRAL",61,5,0
"592","20/06/2022","GIRONA",116,16,5
"593","20/06/2022","LLEIDA",15,2,4
"594","20/06/2022","TERRES DE L'EBRE",8,2,2
"595","27/06/2022","BARCELONA",1134,100,33
"596","27/06/2022","CAMP DE TARRAGONA",42,8,5
"597","27/06/2022","CATALUNYA CENTRAL",30,4,3
"598","27/06/2022","GIRONA",129,17,4
"599","27/06/2022","LLEIDA",21,3,5
"600","04/07/2022","BARCELONA",1052,151,30
"601","04/07/2022","CAMP DE TARRAGONA",34,11,4
"602","04/07/2022","CATALUNYA CENTRAL",76,15,2
"603","04/07/2022","GIRONA",164,27,5
"604","04/07/2022","LLEIDA",15,4,7
"605","04/07/2022","TERRES DE L'EBRE",7,1,2
"606","11/07/2022","BARCELONA",924,135,27
"607","11/07/2022","CAMP DE TARRAGONA",60,19,4
"608","11/07/2022","CATALUNYA CENTRAL",101,12,4
"609","11/07/2022","GIRONA",130,23,12
"610","11/07/2022","LLEIDA",31,10,2
"611","11/07/2022","TERRES DE L'EBRE",19,3,1
"612","18/07/2022","BARCELONA",682,94,32
"613","18/07/2022","CAMP DE TARRAGONA",63,16,2
"614","18/07/2022","CATALUNYA CENTRAL",87,16,7
"615","18/07/2022","GIRONA",115,18,6
"616","18/07/2022","LLEIDA",49,7,3
"617","18/07/2022","TERRES DE L'EBRE",17,7,1
"618","25/07/2022","ALT PIRINEU I ARAN",1,1,0
"619","25/07/2022","BARCELONA",640,70,30
"620","25/07/2022","CAMP DE TARRAGONA",17,6,3
"621","25/07/2022","CATALUNYA CENTRAL",49,5,5
"622","25/07/2022","GIRONA",80,11,2
"623","25/07/2022","LLEIDA",26,6,2
"624","25/07/2022","TERRES DE L'EBRE",4,3,0
"625","01/08/2022","BARCELONA",376,36,21
"626","01/08/2022","CAMP DE TARRAGONA",19,4,1
"627","01/08/2022","CATALUNYA CENTRAL",24,4,6
"628","01/08/2022","GIRONA",68,19,1
"629","01/08/2022","LLEIDA",16,3,3
"630","01/08/2022","TERRES DE L'EBRE",9,4,1
"631","08/08/2022","ALT PIRINEU I ARAN",1,1,0
"632","08/08/2022","BARCELONA",276,47,16
"633","08/08/2022","CAMP DE TARRAGONA",6,3,1
"634","08/08/2022","CATALUNYA CENTRAL",34,8,4
"635","08/08/2022","GIRONA",19,7,2
"636","08/08/2022","LLEIDA",11,3,2
"637","15/08/2022","BARCELONA",227,22,14
"638","15/08/2022","CATALUNYA CENTRAL",10,1,3
"639","15/08/2022","GIRONA",10,4,1
"640","15/08/2022","LLEIDA",7,2,2
"641","15/08/2022","TERRES DE L'EBRE",4,2,0
"642","22/08/2022","BARCELONA",147,18,13
"643","22/08/2022","CAMP DE TARRAGONA",14,8,1
"644","22/08/2022","CATALUNYA CENTRAL",10,2,1
"645","22/08/2022","GIRONA",8,2,1
"646","22/08/2022","LLEIDA",9,3,0
"647","22/08/2022","TERRES DE L'EBRE",1,1,0
"648","29/08/2022","BARCELONA",170,27,5
"649","29/08/2022","CAMP DE TARRAGONA",4,2,0
"650","29/08/2022","CATALUNYA CENTRAL",2,2,2
"651","29/08/2022","GIRONA",6,2,1
"652","29/08/2022","LLEIDA",7,1,1
"653","05/09/2022","BARCELONA",95,11,6
"654","05/09/2022","CAMP DE TARRAGONA",1,1,0
"655","05/09/2022","CATALUNYA CENTRAL",21,4,2
"656","05/09/2022","GIRONA",5,2,3
"657","05/09/2022","LLEIDA",2,1,0
"658","12/09/2022","BARCELONA",80,11,8
"659","12/09/2022","CAMP DE TARRAGONA",1,1,0
"660","12/09/2022","CATALUNYA CENTRAL",15,2,1
"661","12/09/2022","GIRONA",6,2,4
"662","12/09/2022","LLEIDA",5,2,0
"663","19/09/2022","BARCELONA",25,7,9
"664","19/09/2022","CAMP DE TARRAGONA",2,2,0
"665","19/09/2022","CATALUNYA CENTRAL",16,2,1
"666","26/09/2022","ALT PIRINEU I ARAN",1,1,0
"667","26/09/2022","BARCELONA",96,11,14
"668","26/09/2022","CATALUNYA CENTRAL",3,1,1
"669","26/09/2022","GIRONA",10,4,1
"670","03/10/2022","ALT PIRINEU I ARAN",1,1,0
"671","03/10/2022","BARCELONA",127,12,5
"672","03/10/2022","CAMP DE TARRAGONA",5,2,0
"673","03/10/2022","CATALUNYA CENTRAL",15,2,2
"674","03/10/2022","GIRONA",9,4,3
"675","10/10/2022","BARCELONA",137,16,8
"676","10/10/2022","CAMP DE TARRAGONA",2,1,0
"677","10/10/2022","CATALUNYA CENTRAL",17,3,2
"678","10/10/2022","GIRONA",1,1,3
"679","10/10/2022","LLEIDA",12,4,2
"680","17/10/2022","BARCELONA",131,15,14
"681","17/10/2022","CATALUNYA CENTRAL",11,2,0
"682","17/10/2022","GIRONA",19,4,2
"683","17/10/2022","LLEIDA",9,4,1
"684","24/10/2022","BARCELONA",161,22,10
"685","24/10/2022","CAMP DE TARRAGONA",5,2,0
"686","24/10/2022","CATALUNYA CENTRAL",10,1,1
"687","24/10/2022","GIRONA",7,4,2
"688","24/10/2022","LLEIDA",15,3,1
"689","31/10/2022","BARCELONA",186,15,18
"690","31/10/2022","CATALUNYA CENTRAL",13,3,0
"691","31/10/2022","GIRONA",3,1,3
"692","31/10/2022","LLEIDA",2,2,2
"693","07/11/2022","BARCELONA",309,28,14
"694","07/11/2022","CATALUNYA CENTRAL",8,2,0
"695","07/11/2022","GIRONA",6,2,3
"696","14/11/2022","BARCELONA",213,25,19
"697","14/11/2022","CAMP DE TARRAGONA",3,1,0
"698","14/11/2022","CATALUNYA CENTRAL",22,4,1
"699","14/11/2022","GIRONA",11,4,4
"700","14/11/2022","LLEIDA",11,3,0
"701","21/11/2022","BARCELONA",202,20,16
"702","21/11/2022","GIRONA",11,5,3
"703","28/11/2022","BARCELONA",136,13,18
"704","28/11/2022","CAMP DE TARRAGONA",1,1,2
"705","28/11/2022","CATALUNYA CENTRAL",24,5,2
"706","05/12/2022","BARCELONA",56,1,21
"707","05/12/2022","CATALUNYA CENTRAL",9,1,3
