"","data_inici","nom_regio","hospitalizaciones","defunciones","Ingresos_UCI"
"109","05/10/2020","CAMP DE TARRAGONA",21,19,20
"110","05/10/2020","CATALUNYA CENTRAL",23,6,12
"111","05/10/2020","GIRONA",47,16,20
"112","05/10/2020","LLEIDA",7,7,5
"113","12/10/2020","ALT PIRINEU I ARAN",3,2,0
"114","12/10/2020","BARCELONA",594,107,189
"115","12/10/2020","CAMP DE TARRAGONA",42,21,22
"116","12/10/2020","CATALUNYA CENTRAL",21,4,14
"117","12/10/2020","GIRONA",64,17,23
"118","12/10/2020","LLEIDA",6,4,8
"119","19/10/2020","ALT PIRINEU I ARAN",7,2,0
"120","19/10/2020","BARCELONA",1044,148,260
"121","19/10/2020","CAMP DE TARRAGONA",104,28,34
"122","19/10/2020","CATALUNYA CENTRAL",61,15,19
"123","19/10/2020","GIRONA",125,29,39
"124","19/10/2020","LLEIDA",41,13,14
"125","19/10/2020","TERRES DE L'EBRE",14,3,7
"126","26/10/2020","ALT PIRINEU I ARAN",10,5,0
"127","26/10/2020","BARCELONA",1385,256,348
"128","26/10/2020","CAMP DE TARRAGONA",144,31,51
"129","26/10/2020","CATALUNYA CENTRAL",126,33,29
"130","26/10/2020","GIRONA",206,62,48
"131","26/10/2020","LLEIDA",58,11,19
"132","26/10/2020","TERRES DE L'EBRE",18,6,12
"133","02/11/2020","ALT PIRINEU I ARAN",10,2,0
"134","02/11/2020","BARCELONA",1458,320,393
"135","02/11/2020","CAMP DE TARRAGONA",146,34,51
"136","02/11/2020","CATALUNYA CENTRAL",121,44,36
"137","02/11/2020","GIRONA",242,74,53
"138","02/11/2020","LLEIDA",53,19,24
"139","02/11/2020","TERRES DE L'EBRE",19,11,21
"140","09/11/2020","ALT PIRINEU I ARAN",8,3,0
"141","09/11/2020","BARCELONA",1354,290,397
"142","09/11/2020","CAMP DE TARRAGONA",100,32,48
"143","09/11/2020","CATALUNYA CENTRAL",100,48,43
"144","09/11/2020","GIRONA",200,63,59
"145","09/11/2020","LLEIDA",51,16,19
"146","09/11/2020","TERRES DE L'EBRE",18,11,23
"147","16/11/2020","ALT PIRINEU I ARAN",5,7,0
"148","16/11/2020","BARCELONA",1132,261,359
"149","16/11/2020","CAMP DE TARRAGONA",62,24,43
"150","16/11/2020","CATALUNYA CENTRAL",95,30,27
"151","16/11/2020","GIRONA",161,58,46
"152","16/11/2020","LLEIDA",39,16,19
"153","16/11/2020","TERRES DE L'EBRE",16,11,20
"154","23/11/2020","ALT PIRINEU I ARAN",12,18,0
"155","23/11/2020","BARCELONA",908,202,323
"156","23/11/2020","CAMP DE TARRAGONA",58,23,43
"157","23/11/2020","CATALUNYA CENTRAL",91,29,19
"158","23/11/2020","GIRONA",153,48,44
"159","23/11/2020","LLEIDA",39,12,11
"160","23/11/2020","TERRES DE L'EBRE",6,8,18
"161","30/11/2020","ALT PIRINEU I ARAN",19,30,0
"162","30/11/2020","BARCELONA",770,173,270
"163","30/11/2020","CAMP DE TARRAGONA",45,23,46
"164","30/11/2020","CATALUNYA CENTRAL",68,33,14
"165","30/11/2020","GIRONA",185,57,43
"166","30/11/2020","LLEIDA",25,9,9
"167","30/11/2020","TERRES DE L'EBRE",2,2,12
"168","07/12/2020","ALT PIRINEU I ARAN",15,18,0
"169","07/12/2020","BARCELONA",697,157,231
"170","07/12/2020","CAMP DE TARRAGONA",53,16,35
"171","07/12/2020","CATALUNYA CENTRAL",75,16,18
"172","07/12/2020","GIRONA",170,45,42
"173","07/12/2020","LLEIDA",36,15,10
"174","14/12/2020","ALT PIRINEU I ARAN",10,10,0
"175","14/12/2020","BARCELONA",821,133,222
"176","14/12/2020","CAMP DE TARRAGONA",64,14,33
"177","14/12/2020","CATALUNYA CENTRAL",67,30,17
"178","14/12/2020","GIRONA",135,42,40
"179","14/12/2020","LLEIDA",42,13,9
"180","21/12/2020","ALT PIRINEU I ARAN",3,4,0
"181","21/12/2020","BARCELONA",867,153,227
"182","21/12/2020","CAMP DE TARRAGONA",106,30,32
"183","21/12/2020","CATALUNYA CENTRAL",83,22,23
"184","21/12/2020","GIRONA",143,52,37
"185","21/12/2020","LLEIDA",40,11,11
"186","21/12/2020","TERRES DE L'EBRE",3,2,8
"187","28/12/2020","BARCELONA",1066,229,271
"188","28/12/2020","CAMP DE TARRAGONA",150,35,32
"189","28/12/2020","CATALUNYA CENTRAL",128,28,26
"190","28/12/2020","GIRONA",198,52,36
"191","28/12/2020","LLEIDA",48,8,14
"192","04/01/2021","BARCELONA",1170,234,337
"193","04/01/2021","CAMP DE TARRAGONA",205,47,38
"194","04/01/2021","CATALUNYA CENTRAL",153,34,27
"195","04/01/2021","GIRONA",220,56,43
"196","04/01/2021","LLEIDA",32,9,13
"197","04/01/2021","TERRES DE L'EBRE",23,3,12
"198","11/01/2021","BARCELONA",1429,298,393
"199","11/01/2021","CAMP DE TARRAGONA",208,46,56
"200","11/01/2021","CATALUNYA CENTRAL",158,51,28
"201","11/01/2021","GIRONA",236,72,40
"202","11/01/2021","LLEIDA",67,16,16
"203","11/01/2021","TERRES DE L'EBRE",10,7,17
"204","18/01/2021","BARCELONA",1794,379,490
"205","18/01/2021","CAMP DE TARRAGONA",216,51,66
"206","18/01/2021","CATALUNYA CENTRAL",159,54,31
"207","18/01/2021","GIRONA",135,59,54
"208","18/01/2021","LLEIDA",76,18,26
"209","18/01/2021","TERRES DE L'EBRE",11,4,16
"210","25/01/2021","BARCELONA",1801,392,520
"211","25/01/2021","CAMP DE TARRAGONA",215,68,65
"212","25/01/2021","CATALUNYA CENTRAL",98,40,32
"213","25/01/2021","GIRONA",223,58,52
"214","25/01/2021","LLEIDA",70,22,35
"215","25/01/2021","TERRES DE L'EBRE",31,9,24
"216","01/02/2021","BARCELONA",1584,294,498
"217","01/02/2021","CAMP DE TARRAGONA",131,38,61
"218","01/02/2021","CATALUNYA CENTRAL",112,23,30
"219","01/02/2021","GIRONA",196,57,56
"220","01/02/2021","LLEIDA",62,15,25
"221","01/02/2021","TERRES DE L'EBRE",25,10,24
"222","08/02/2021","BARCELONA",1227,234,454
"223","08/02/2021","CAMP DE TARRAGONA",96,28,50
"224","08/02/2021","CATALUNYA CENTRAL",85,20,32
"225","08/02/2021","GIRONA",157,41,49
"226","08/02/2021","LLEIDA",45,11,25
"227","08/02/2021","TERRES DE L'EBRE",9,3,23
"228","15/02/2021","BARCELONA",1003,188,436
"229","15/02/2021","CAMP DE TARRAGONA",66,17,41
"230","15/02/2021","CATALUNYA CENTRAL",46,15,34
"231","15/02/2021","GIRONA",133,34,49
"232","15/02/2021","LLEIDA",57,11,13
"233","15/02/2021","TERRES DE L'EBRE",5,4,15
"234","22/02/2021","BARCELONA",893,142,385
"235","22/02/2021","CAMP DE TARRAGONA",28,7,38
"236","22/02/2021","CATALUNYA CENTRAL",56,12,31
"237","22/02/2021","GIRONA",114,28,52
"238","22/02/2021","LLEIDA",20,7,17
"239","22/02/2021","TERRES DE L'EBRE",2,1,9
"240","01/03/2021","BARCELONA",762,138,366
"241","01/03/2021","CAMP DE TARRAGONA",17,3,33
"242","01/03/2021","CATALUNYA CENTRAL",52,9,33
"243","01/03/2021","GIRONA",119,25,43
"244","01/03/2021","LLEIDA",18,5,18
"245","01/03/2021","TERRES DE L'EBRE",1,1,7
"246","08/03/2021","BARCELONA",760,107,305
"247","08/03/2021","CAMP DE TARRAGONA",10,3,33
