"","onada","nerviosismo","irritacion","alegria","melancolia","tension","optimismo","desanimo","ira","ansiedad","apagado","molesto","animado","intranquilo","contento","triste"
"1",1,4.62339514978602,3.81115879828326,4.49067431850789,4.32323232323232,4.36637931034483,5.04460431654676,4.02442528735632,3.94126284875184,4.28776978417266,3.79394812680115,4.16810344827586,4.96109510086455,5.08933717579251,4.42257597684515,4.00431034482759
"2",2,4.36736958934517,3.85666666666667,4.36748329621381,4.53020134228188,4.39043381535039,5.08053691275168,4.03575418994413,3.94363021420519,4.22346368715084,3.99665551839465,4.27435610302352,4.92497200447928,4.97081930415264,4.438127090301,4.11469933184855
"3",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,4.1358024691358,3.77587844254511,4.91325071496663,4.56720686367969,4.22032288698955,5.03805899143673,4.03441682600382,3.65192307692308,4.06,3.90917782026769,4.0622009569378,5.02097235462345,4.60323501427212,4.76076555023923,3.90613026819923
"5",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
