"","sexe","nerviosismo","irritacion","alegria","melancolia","tension","optimismo","desanimo","ira","ansiedad","apagado","molesto","animado","intranquilo","contento","triste"
"1","Dona",4.65875561257216,3.89730423620026,4.625,4.86847195357834,4.51511254019293,4.94254357650097,4.29198966408269,3.83159268929504,4.45647969052224,4.17753389283409,4.09290322580645,4.87483870967742,5.26081342801808,4.53078418664938,4.37113402061856
"2","Home",3.89416058394161,3.69195612431444,4.6043956043956,3.95023041474654,4.03385178408051,5.21264894592117,3.66299357208448,3.81970260223048,3.77502295684114,3.52573529411765,4.26107011070111,5.11233885819521,4.27782888684453,4.60642201834862,3.47697974217311
