"","provincia","nerviosismo","irritacion","alegria","melancolia","tension","optimismo","desanimo","ira","ansiedad","apagado","molesto","animado","intranquilo","contento","triste"
"1","Barcelona",4.40238450074516,3.80119581464873,4.51197604790419,4.31825037707391,4.40718562874252,4.88721804511278,4.1039156626506,3.84766214177979,4.23502994011976,4.04210526315789,4.18862275449102,4.83132530120482,4.77211394302849,4.44812030075188,4.07357357357357
"2","Girona",4.11920529801325,3.96688741721854,4.40397350993377,4.16778523489933,4.08609271523179,4.98013245033113,4.11258278145695,4.0979020979021,4.01333333333333,4.14,4.43333333333333,4.8476821192053,4.71333333333333,4.22,3.82
"3","Lleida",4.75925925925926,3.94736842105263,4.55140186915888,4.671826625387,4.45679012345679,5.20679012345679,4.16770186335404,3.9625,4.28395061728395,4.06501547987616,4.44891640866873,5,5.0809968847352,4.640625,4.2398753894081
"4","Tarragona",4.24983432736912,3.77335984095427,4.69813829787234,4.55962691538974,4.26910299003322,5.10266666666667,3.96333333333333,3.76180836707152,4.1415220293725,3.79252835223482,4.0609511051574,5.04202801867912,4.8584779706275,4.630173564753,3.93937375083278
