"","data","certificados"
"251","19/05/2020",NA
"252","19/06/2020",326
"253","19/07/2020",475
"254","19/08/2020",5
"255","19/09/2020",6
"256","19/10/2020",30
"257","19/11/2020",NA
"258","19/12/2020",NA
"259","20/01/2021",NA
"260","20/02/2021",NA
"261","20/03/2021",NA
"262","20/04/2020",NA
"263","20/04/2021",NA
"264","20/05/2020",NA
"265","20/06/2020",117
"266","20/07/2020",795
"267","20/08/2020",8
"268","20/09/2020",4
"269","20/10/2020",29
"270","20/11/2020",NA
"271","20/12/2020",NA
"272","21/01/2021",NA
"273","21/02/2021",NA
"274","21/03/2021",NA
"275","21/04/2020",NA
"276","21/04/2021",NA
"277","21/05/2020",NA
"278","21/06/2020",56
"279","21/07/2020",465
"280","21/08/2020",2
"281","21/09/2020",8
"282","21/10/2020",37
"283","21/11/2020",NA
"284","21/12/2020",NA
"285","22/01/2021",NA
"286","22/02/2021",NA
"287","22/03/2021",NA
"288","22/04/2020",NA
"289","22/04/2021",NA
"290","22/05/2020",NA
"291","22/06/2020",77
"292","22/07/2020",406
"293","22/08/2020",9
"294","22/09/2020",13
"295","22/10/2020",53
"296","22/11/2020",NA
"297","22/12/2020",NA
"298","23/01/2021",NA
"299","23/02/2021",NA
"300","23/03/2020",NA
"301","23/03/2021",NA
"302","23/04/2020",NA
"303","23/04/2021",NA
"304","23/05/2020",NA
"305","23/06/2020",47
"306","23/07/2020",364
"307","23/08/2020",7
"308","23/09/2020",15
"309","23/10/2020",36
"310","23/11/2020",NA
"311","23/12/2020",NA
"312","24/01/2021",NA
"313","24/02/2021",NA
"314","24/03/2020",NA
"315","24/03/2021",NA
"316","24/04/2020",NA
"317","24/04/2021",NA
"318","24/05/2020",NA
"319","24/06/2020",14
"320","24/07/2020",344
"321","24/08/2020",15
"322","24/09/2020",8
"323","24/10/2020",66
"324","24/11/2020",NA
"325","24/12/2020",NA
"326","25/01/2021",NA
"327","25/02/2021",NA
"328","25/03/2020",NA
"329","25/03/2021",NA
"330","25/04/2020",NA
"331","25/04/2021",NA
"332","25/05/2020",NA
"333","25/06/2020",27
"334","25/07/2020",164
"335","25/08/2020",23
"336","25/09/2020",8
"337","25/10/2020",NA
"338","25/11/2020",NA
"339","25/12/2020",NA
"340","26/01/2021",NA
"341","26/02/2021",NA
"342","26/03/2020",NA
"343","26/03/2021",NA
"344","26/04/2020",NA
"345","26/04/2021",NA
"346","26/05/2020",NA
"347","26/06/2020",9
"348","26/07/2020",204
"349","26/08/2020",13
"350","26/09/2020",8
"351","26/10/2020",NA
"352","26/11/2020",NA
"353","26/12/2020",NA
"354","27/01/2021",NA
"355","27/02/2021",NA
"356","27/03/2020",NA
"357","27/03/2021",NA
"358","27/04/2020",NA
"359","27/04/2021",NA
"360","27/05/2020",NA
"361","27/06/2020",4
"362","27/07/2020",361
"363","27/08/2020",8
"364","27/09/2020",8
"365","27/10/2020",NA
"366","27/11/2020",NA
"367","27/12/2020",NA
"368","28/01/2021",NA
"369","28/02/2021",NA
"370","28/03/2020",NA
"371","28/03/2021",NA
"372","28/04/2020",NA
"373","28/04/2021",NA
"374","28/05/2020",NA
"375","28/06/2020",6
"376","28/07/2020",344
"377","28/08/2020",10
"378","28/09/2020",10
"379","28/10/2020",NA
"380","28/11/2020",NA
"381","28/12/2020",NA
"382","29/01/2021",NA
"383","29/03/2020",NA
"384","29/03/2021",NA
"385","29/04/2020",NA
"386","29/04/2021",NA
"387","29/05/2020",NA
"388","29/06/2020",12
"389","29/07/2020",220
"390","29/08/2020",1
"391","29/09/2020",9
"392","29/10/2020",NA
"393","29/11/2020",NA
"394","29/12/2020",NA
"395","30/01/2021",NA
"396","30/03/2020",NA
"397","30/03/2021",NA
"398","30/04/2020",NA
"399","30/04/2021",NA
"400","30/05/2020",NA
"401","30/06/2020",9
"402","30/07/2020",57
"403","30/08/2020",5
"404","30/09/2020",7
"405","30/10/2020",NA
"406","30/11/2020",NA
"407","30/12/2020",NA
"408","31/01/2021",NA
"409","31/03/2020",NA
"410","31/03/2021",NA
"411","31/05/2020",NA
"412","31/07/2020",27
"413","31/08/2020",9
"414","31/10/2020",NA
"415","31/12/2020",NA
